epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7462,2.72097,10.3873,2.0459,0.09486,0.11849,0.04688,0.01203,2.67244,10.182,2.00559,0.000331169,0.000331169,0.0672143
2,74.3993,2.66398,9.02109,2.01936,0.11998,0.07225,0.04401,0.01425,2.69126,9.81374,2.11495,0.000662309,0.000662309,0.0342121
3,114.446,2.64054,8.74495,2.03597,0.08847,0.11107,0.0365,0.01057,2.79023,9.71709,2.15861,0.00099125,0.00099125,0.0012077
4,152.268,2.65095,8.74439,2.01351,0.13749,0.13202,0.05245,0.0152,2.7209,11.1062,2.12356,0.0009901,0.0009901,0.0009901
5,191.949,2.55146,8.45243,1.97162,0.10949,0.13106,0.07649,0.02372,2.62032,10.2068,2.0478,0.0009868,0.0009868,0.0009868
6,231.901,2.54345,8.37004,1.97837,0.12642,0.16288,0.08819,0.02763,2.64584,9.04073,2.05753,0.0009835,0.0009835,0.0009835
7,270.505,2.49271,8.14111,1.94497,0.1719,0.15254,0.07292,0.02025,2.6157,9.34685,2.03418,0.0009802,0.0009802,0.0009802
8,306.332,2.42105,7.78814,1.88834,0.16718,0.14902,0.09279,0.02906,2.53989,8.56209,2.00725,0.0009769,0.0009769,0.0009769
9,344.183,2.44561,7.82392,1.8911,0.17887,0.21049,0.12443,0.04015,2.54383,8.40132,1.97532,0.0009736,0.0009736,0.0009736
10,383.954,2.38056,7.63634,1.85265,0.19766,0.20251,0.10621,0.0332,2.50698,8.49695,1.96813,0.0009703,0.0009703,0.0009703
11,423.119,2.33798,7.45089,1.82145,0.25791,0.17061,0.12977,0.03702,2.53615,9.19152,1.98007,0.000967,0.000967,0.000967
12,460.971,2.36311,7.33331,1.83185,0.23309,0.20612,0.14394,0.05075,2.49579,8.13775,1.91825,0.0009637,0.0009637,0.0009637
13,497.855,2.31015,7.15952,1.78399,0.23199,0.21093,0.1371,0.04416,2.48779,7.84182,1.92911,0.0009604,0.0009604,0.0009604
14,533.644,2.28598,7.16459,1.79124,0.19099,0.25601,0.13733,0.04173,2.48165,8.33934,1.93003,0.0009571,0.0009571,0.0009571
15,569.583,2.27499,7.05061,1.79319,0.21996,0.20854,0.16747,0.05273,2.48908,8.17675,1.94474,0.0009538,0.0009538,0.0009538
16,608.974,2.25523,6.83559,1.77803,0.18631,0.20285,0.12,0.04291,2.40962,8.96771,1.90276,0.0009505,0.0009505,0.0009505
17,644.695,2.25948,6.86618,1.75374,0.25954,0.23651,0.17737,0.05564,2.45382,7.83219,1.8869,0.0009472,0.0009472,0.0009472
18,682.112,2.22436,6.73749,1.75184,0.29365,0.25588,0.18315,0.06633,2.43812,7.55157,1.87198,0.0009439,0.0009439,0.0009439
19,719.816,2.18058,6.73406,1.72539,0.24458,0.25672,0.17429,0.06438,2.42664,7.61929,1.89975,0.0009406,0.0009406,0.0009406
20,755.187,2.17007,6.42821,1.72321,0.37481,0.28713,0.21292,0.06969,2.35399,7.55303,1.82537,0.0009373,0.0009373,0.0009373
21,793.302,2.19224,6.3981,1.71751,0.32218,0.2365,0.21437,0.07537,2.44231,7.69441,1.93305,0.000934,0.000934,0.000934
22,832.466,2.14076,6.21532,1.69372,0.2452,0.24075,0.15508,0.05546,2.421,8.26166,1.89437,0.0009307,0.0009307,0.0009307
23,870.226,2.10992,6.15268,1.67372,0.43832,0.25164,0.24807,0.09212,2.30472,7.35041,1.82827,0.0009274,0.0009274,0.0009274
24,909.6,2.09234,5.92186,1.67125,0.39686,0.28943,0.26524,0.10173,2.36946,7.27126,1.87311,0.0009241,0.0009241,0.0009241
25,950.928,2.07202,5.9313,1.66136,0.40203,0.28302,0.24638,0.09153,2.38634,7.2755,1.85207,0.0009208,0.0009208,0.0009208
26,989.996,2.07749,5.88027,1.65852,0.39202,0.27807,0.25728,0.11055,2.31191,7.3665,1.80895,0.0009175,0.0009175,0.0009175
27,1030.49,2.05762,5.66829,1.64268,0.3789,0.30395,0.25316,0.09262,2.34323,7.2066,1.8552,0.0009142,0.0009142,0.0009142
28,1071.4,2.05701,5.7386,1.65451,0.43923,0.29064,0.29858,0.11473,2.34409,7.19817,1.85978,0.0009109,0.0009109,0.0009109
29,1112.4,2.02643,5.67419,1.62709,0.3516,0.28671,0.27216,0.10516,2.31342,7.28955,1.81321,0.0009076,0.0009076,0.0009076
30,1150.42,2.0363,5.60554,1.6044,0.51485,0.31738,0.33313,0.13569,2.37232,7.01988,1.84712,0.0009043,0.0009043,0.0009043
31,1190.18,2.00028,5.43703,1.60637,0.51941,0.29414,0.29823,0.12208,2.35405,7.23106,1.81993,0.000901,0.000901,0.000901
32,1228.19,2.00671,5.38941,1.60789,0.46157,0.3401,0.33824,0.12863,2.36473,7.01257,1.84897,0.0008977,0.0008977,0.0008977
33,1266.41,1.98602,5.36974,1.61498,0.44121,0.38373,0.32409,0.13367,2.33176,7.06853,1.81011,0.0008944,0.0008944,0.0008944
34,1304.38,1.94842,5.2873,1.56931,0.49149,0.38861,0.3619,0.14155,2.30151,6.80466,1.80841,0.0008911,0.0008911,0.0008911
35,1344.31,1.95595,5.3072,1.57725,0.36027,0.35624,0.28284,0.11955,2.33954,6.96617,1.83035,0.0008878,0.0008878,0.0008878
36,1382.78,1.96306,5.28784,1.57096,0.4311,0.35064,0.30304,0.12092,2.3523,6.83704,1.83807,0.0008845,0.0008845,0.0008845
37,1420.78,1.87521,4.91772,1.53444,0.46511,0.30648,0.31612,0.14725,2.29641,6.99472,1.82859,0.0008812,0.0008812,0.0008812
38,1460.57,1.88014,4.93118,1.51417,0.48219,0.36593,0.35961,0.14582,2.26922,7.04045,1.77342,0.0008779,0.0008779,0.0008779
39,1498.8,1.87878,4.96635,1.52877,0.43777,0.36163,0.33498,0.14547,2.33656,6.85228,1.80226,0.0008746,0.0008746,0.0008746
40,1536.63,1.94623,4.99452,1.55371,0.50601,0.33093,0.32691,0.1458,2.31768,6.66826,1.81766,0.0008713,0.0008713,0.0008713
41,1574.61,1.88323,4.88691,1.54456,0.45844,0.37519,0.33405,0.14341,2.31879,6.5507,1.84741,0.000868,0.000868,0.000868
42,1612.29,1.85194,4.81075,1.49708,0.50289,0.39271,0.3785,0.15957,2.31537,7.01147,1.80164,0.0008647,0.0008647,0.0008647
43,1651.43,1.84522,4.71999,1.50799,0.54507,0.38933,0.39259,0.16806,2.27015,6.58293,1.79585,0.0008614,0.0008614,0.0008614
44,1692.08,1.87782,4.76886,1.50249,0.43708,0.4095,0.36977,0.1559,2.2856,6.91935,1.78556,0.0008581,0.0008581,0.0008581
45,1730.47,1.83868,4.71678,1.49817,0.54284,0.3734,0.4077,0.19756,2.26054,6.47424,1.80272,0.0008548,0.0008548,0.0008548
46,1770.7,1.83095,4.61501,1.48665,0.53594,0.40289,0.43449,0.21308,2.27058,6.16076,1.78918,0.0008515,0.0008515,0.0008515
47,1811.26,1.76271,4.37816,1.4553,0.57277,0.34507,0.40103,0.18758,2.26066,6.56099,1.74759,0.0008482,0.0008482,0.0008482
48,1848.92,1.79501,4.47044,1.4572,0.50385,0.44723,0.44069,0.2016,2.2582,6.34032,1.77839,0.0008449,0.0008449,0.0008449
49,1886.89,1.81534,4.49941,1.47979,0.60898,0.38903,0.42869,0.20553,2.23876,6.11262,1.77159,0.0008416,0.0008416,0.0008416
50,1926.4,1.78055,4.40055,1.47237,0.57839,0.43317,0.43829,0.20643,2.25877,6.31033,1.78213,0.0008383,0.0008383,0.0008383
51,1966.36,1.76431,4.42106,1.46839,0.59638,0.36149,0.41976,0.20196,2.27854,6.38113,1.82208,0.000835,0.000835,0.000835
52,2005.63,1.74964,4.31831,1.46536,0.58845,0.40119,0.44736,0.20432,2.19522,6.43239,1.74671,0.0008317,0.0008317,0.0008317
53,2044.11,1.77009,4.32714,1.451,0.60656,0.39428,0.41738,0.21471,2.20488,6.20969,1.75033,0.0008284,0.0008284,0.0008284
54,2084.82,1.76506,4.2711,1.44181,0.54005,0.41987,0.43888,0.21074,2.20938,6.34779,1.74195,0.0008251,0.0008251,0.0008251
55,2123.7,1.77812,4.24549,1.45309,0.54295,0.42297,0.42338,0.19625,2.2743,6.41985,1.7802,0.0008218,0.0008218,0.0008218
56,2162.46,1.71858,4.18656,1.43048,0.59549,0.44233,0.45787,0.22779,2.17509,6.40001,1.74289,0.0008185,0.0008185,0.0008185
57,2202.31,1.67149,3.95096,1.4038,0.62201,0.44007,0.46339,0.22267,2.21697,6.36552,1.78445,0.0008152,0.0008152,0.0008152
58,2240.64,1.68964,4.02563,1.42532,0.59186,0.42789,0.4654,0.22621,2.1833,6.26762,1.75088,0.0008119,0.0008119,0.0008119
59,2278.74,1.67033,3.98406,1.40505,0.57875,0.41942,0.45115,0.23265,2.16996,6.30363,1.74405,0.0008086,0.0008086,0.0008086
60,2319.47,1.67941,4.07708,1.42274,0.59749,0.43284,0.4488,0.21254,2.13805,6.30598,1.72582,0.0008053,0.0008053,0.0008053
61,2357.69,1.66321,3.82677,1.36638,0.63156,0.41893,0.44107,0.21651,2.2016,6.26569,1.74135,0.000802,0.000802,0.000802
62,2396.1,1.68575,3.96801,1.39978,0.58152,0.4624,0.47588,0.25435,2.16333,6.04218,1.74459,0.0007987,0.0007987,0.0007987
63,2436.13,1.65796,3.82154,1.38175,0.64379,0.46142,0.46964,0.2328,2.16551,6.05246,1.71765,0.0007954,0.0007954,0.0007954
64,2474.09,1.66478,3.8484,1.36739,0.61898,0.4564,0.45551,0.22915,2.21216,6.02339,1.77666,0.0007921,0.0007921,0.0007921
65,2512.14,1.63499,3.73925,1.36631,0.61527,0.45562,0.45956,0.23813,2.19576,6.20361,1.76813,0.0007888,0.0007888,0.0007888
66,2550.59,1.61687,3.68937,1.35319,0.65155,0.48081,0.49126,0.24428,2.22066,5.99873,1.79492,0.0007855,0.0007855,0.0007855
67,2588.6,1.63719,3.77303,1.36007,0.61372,0.47811,0.48036,0.24947,2.15619,6.06974,1.74051,0.0007822,0.0007822,0.0007822
68,2626.47,1.61551,3.7451,1.34956,0.61759,0.45083,0.48541,0.25006,2.21501,5.96046,1.76792,0.0007789,0.0007789,0.0007789
69,2663.9,1.60616,3.70608,1.34142,0.56254,0.49225,0.47409,0.25071,2.2051,6.08103,1.76192,0.0007756,0.0007756,0.0007756
70,2701.62,1.59295,3.62925,1.34334,0.67595,0.42014,0.46882,0.24243,2.22766,6.19941,1.77061,0.0007723,0.0007723,0.0007723
71,2739.59,1.56998,3.5799,1.33566,0.64935,0.44912,0.47671,0.2352,2.22122,5.94431,1.74595,0.000769,0.000769,0.000769
72,2777.16,1.56931,3.57591,1.33541,0.61448,0.47506,0.48395,0.26001,2.09868,5.84214,1.71397,0.0007657,0.0007657,0.0007657
73,2817.76,1.57835,3.65248,1.35021,0.59666,0.457,0.48403,0.24219,2.19834,6.13281,1.75404,0.0007624,0.0007624,0.0007624
74,2855.6,1.56634,3.55951,1.34027,0.61251,0.52066,0.50255,0.26249,2.14699,5.84629,1.74992,0.0007591,0.0007591,0.0007591
75,2895.83,1.56422,3.52029,1.34126,0.65821,0.49874,0.50167,0.256,2.15887,5.94011,1.74111,0.0007558,0.0007558,0.0007558
76,2933.72,1.53921,3.49122,1.32499,0.64858,0.50365,0.51738,0.28624,2.1163,5.66755,1.70352,0.0007525,0.0007525,0.0007525
77,2975.54,1.55167,3.48381,1.32455,0.7283,0.45493,0.50703,0.27885,2.14435,5.70438,1.76877,0.0007492,0.0007492,0.0007492
78,3013.32,1.5284,3.3606,1.29979,0.60975,0.48563,0.49351,0.27509,2.07008,5.8649,1.68041,0.0007459,0.0007459,0.0007459
79,3050.93,1.54464,3.42754,1.31981,0.73731,0.45995,0.51184,0.26831,2.14,5.64085,1.73361,0.0007426,0.0007426,0.0007426
80,3089.64,1.52468,3.39229,1.31569,0.60875,0.49522,0.49874,0.28263,2.1113,5.76331,1.7313,0.0007393,0.0007393,0.0007393
