epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5656,1.13325,0.99905,1.19158,0.58565,0.38823,0.36554,0.21709,2.10389,1.966,1.79866,0.000547118,0.000547118,0.000547118
2,46.1078,1.23989,1.06741,1.23667,0.50789,0.4074,0.37666,0.18545,2.15258,1.92314,1.78661,0.00109733,0.00109733,0.00109733
3,68.1123,1.35725,1.19597,1.26455,0.63045,0.2682,0.34984,0.17108,2.18106,2.1365,1.76245,0.00164203,0.00164203,0.00164203
4,90.1656,1.37024,1.25207,1.248,0.37688,0.27421,0.26038,0.12521,2.33788,2.25349,1.83564,0.00164225,0.00164225,0.00164225
5,112.067,1.41518,1.24764,1.29001,0.39917,0.39192,0.33644,0.16429,2.28301,2.11795,1.80929,0.00163399,0.00163399,0.00163399
6,133.907,1.43046,1.21875,1.30052,0.35355,0.35217,0.27298,0.11848,2.38441,2.10671,1.90646,0.00162574,0.00162574,0.00162574
7,155.825,1.42397,1.28656,1.29324,0.38255,0.37839,0.28859,0.1277,2.36079,2.21801,1.84708,0.00161749,0.00161749,0.00161749
8,178.548,1.4531,1.34125,1.30242,0.34064,0.32104,0.25879,0.10372,2.44646,2.41314,1.91089,0.00160924,0.00160924,0.00160924
9,200.472,1.46608,1.27788,1.29718,0.33618,0.34427,0.2915,0.12622,2.27105,2.20045,1.75902,0.00160099,0.00160099,0.00160099
10,222.456,1.43286,1.27165,1.28083,0.43514,0.33253,0.24081,0.09633,2.34134,2.43584,1.78609,0.00159274,0.00159274,0.00159274
11,244.372,1.42727,1.26613,1.2813,0.36157,0.38823,0.31165,0.12771,2.25664,2.1802,1.77414,0.00158448,0.00158448,0.00158448
12,266.351,1.40892,1.22557,1.2935,0.55486,0.26943,0.30703,0.12836,2.37725,2.2255,1.79541,0.00157623,0.00157623,0.00157623
13,288.233,1.45828,1.27824,1.30538,0.41503,0.33289,0.26435,0.10266,2.36805,2.25358,1.82387,0.00156798,0.00156798,0.00156798
14,310.29,1.44113,1.24806,1.28093,0.40356,0.28027,0.22975,0.08774,2.30918,2.50138,1.74704,0.00155973,0.00155973,0.00155973
15,332.182,1.42916,1.2792,1.28311,0.38534,0.32376,0.25842,0.10232,2.35769,2.2968,1.82745,0.00155148,0.00155148,0.00155148
16,354.204,1.49631,1.25102,1.31553,0.36633,0.33786,0.26213,0.09963,2.34484,2.19552,1.79134,0.00154323,0.00154323,0.00154323
17,376.141,1.45541,1.23503,1.28702,0.47787,0.31708,0.32916,0.12932,2.42739,2.21796,1.91925,0.00153497,0.00153497,0.00153497
18,398.089,1.46901,1.28084,1.29538,0.3692,0.24769,0.23001,0.0956,2.49422,2.51784,1.84713,0.00152672,0.00152672,0.00152672
19,420.051,1.43574,1.23059,1.27302,0.35453,0.31291,0.26657,0.10552,2.4566,2.21731,1.92876,0.00151847,0.00151847,0.00151847
20,441.947,1.39007,1.15005,1.25209,0.41843,0.24844,0.23856,0.09807,2.35814,2.30395,1.85821,0.00151022,0.00151022,0.00151022
21,463.935,1.41861,1.16581,1.25612,0.4206,0.32417,0.27804,0.11772,2.41098,2.35132,1.89854,0.00150197,0.00150197,0.00150197
22,485.857,1.40815,1.17426,1.26981,0.30889,0.3892,0.2444,0.1029,2.38725,2.30167,1.89947,0.00149372,0.00149372,0.00149372
23,507.845,1.42586,1.20215,1.29012,0.32145,0.34643,0.25732,0.09122,2.387,2.28381,1.87284,0.00148546,0.00148546,0.00148546
24,529.784,1.3929,1.13902,1.24533,0.34054,0.3917,0.29923,0.11992,2.34724,2.19521,1.83577,0.00147721,0.00147721,0.00147721
25,552.131,1.36089,1.15762,1.24493,0.40446,0.31801,0.25595,0.10144,2.40446,2.2315,1.85384,0.00146896,0.00146896,0.00146896
26,574.449,1.38701,1.14522,1.2388,0.39872,0.31339,0.2704,0.11218,2.3316,2.22873,1.82465,0.00146071,0.00146071,0.00146071
27,597.03,1.33056,1.0654,1.20614,0.3602,0.32969,0.25763,0.10519,2.40332,2.30301,1.85799,0.00145246,0.00145246,0.00145246
28,619.047,1.36733,1.09183,1.23006,0.29995,0.28573,0.20191,0.07902,2.50302,2.6227,1.92897,0.00144421,0.00144421,0.00144421
29,641.424,1.37503,1.19641,1.24751,0.3057,0.29202,0.21933,0.09202,2.41444,2.3688,1.87642,0.00143595,0.00143595,0.00143595
30,663.899,1.35632,1.08842,1.2172,0.39622,0.31487,0.28798,0.10509,2.45054,2.25381,1.93102,0.0014277,0.0014277,0.0014277
31,686.535,1.30764,1.07076,1.19948,0.34799,0.27216,0.23132,0.09661,2.40141,2.49557,1.89306,0.00141945,0.00141945,0.00141945
