epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7905,2.82696,3.95179,2.25705,0.00338,0.26786,0.00166,0.00034,3.60278,nan,4.70282,0.000552562,0.000552562,0.000552562
2,75.8545,2.87829,3.65073,2.40616,0.0016,0.00794,0.00013,3e-05,nan,nan,nan,0.00110457,0.00110457,0.00110457
3,114.1,2.9137,3.6425,2.35649,0.0096,0.0377,0.00461,0.00102,3.36553,8.24433,2.71024,0.00165291,0.00165291,0.00165291
4,154.25,2.95607,3.71709,2.41555,0.00169,0.15693,0.0045,0.00088,3.53944,4.22361,2.82896,0.0016505,0.0016505,0.0016505
5,191.907,2.82224,3.65439,2.35509,0.00372,0.34632,0.00509,0.00144,3.30819,3.87473,2.71432,0.001645,0.001645,0.001645
6,232.766,2.75245,3.61168,2.26515,0.00377,0.33965,0.01436,0.00495,3.32447,3.85196,2.61669,0.00163949,0.00163949,0.00163949
7,272.195,2.69186,3.51292,2.27804,0.07137,0.04131,0.01202,0.00409,3.11613,4.18734,2.50685,0.00163399,0.00163399,0.00163399
8,308.915,2.73599,3.5751,2.28284,0.01285,0.2417,0.01143,0.00283,3.17908,3.58199,2.54379,0.00162849,0.00162849,0.00162849
9,346.194,2.71055,3.52431,2.28944,0.05695,0.01245,0.01294,0.00357,3.13838,3.54908,2.47342,0.00162299,0.00162299,0.00162299
10,382.783,2.65393,3.49527,2.23488,0.00472,0.38546,0.00907,0.00277,3.16062,3.69059,2.55011,0.00161749,0.00161749,0.00161749
11,419.452,2.64737,3.42763,2.23697,0.15984,0.04816,0.02267,0.0061,3.05427,3.55406,2.46752,0.00161199,0.00161199,0.00161199
12,458.809,2.67308,3.41993,2.21182,0.03982,0.07756,0.01324,0.00324,3.08808,3.56207,2.4408,0.00160649,0.00160649,0.00160649
13,495.041,2.59219,3.31262,2.16648,0.11132,0.02976,0.02532,0.00672,2.98711,3.59099,2.35819,0.00160099,0.00160099,0.00160099
14,534.582,2.57084,3.34759,2.15478,0.09267,0.05177,0.02394,0.00636,2.94975,3.30386,2.34276,0.00159549,0.00159549,0.00159549
15,571.139,2.59165,3.31118,2.19763,0.07784,0.06656,0.03051,0.00685,3.00049,3.36729,2.36602,0.00158998,0.00158998,0.00158998
16,610.758,2.52563,3.37302,2.16405,0.09409,0.04275,0.01683,0.00566,3.01102,3.67278,2.40723,0.00158448,0.00158448,0.00158448
17,647.143,2.50029,3.2738,2.13377,0.06053,0.07215,0.01727,0.00547,3.02202,3.48605,2.43195,0.00157898,0.00157898,0.00157898
18,683.761,2.48949,3.22732,2.13759,0.06403,0.05213,0.02479,0.007,2.89999,3.46685,2.32598,0.00157348,0.00157348,0.00157348
19,723.029,2.52862,3.2114,2.12905,0.0847,0.07107,0.02292,0.00703,2.97108,3.46523,2.37885,0.00156798,0.00156798,0.00156798
