epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9498,2.76622,3.97356,2.02316,0.15333,0.08099,0.02122,0.00586,2.90642,4.58591,2.58051,0.000549493,0.000549493,0.000549493
2,46.936,2.8224,3.28677,2.16055,0.00737,0.02489,0.00051,0.00021,4.9195,27289.9,164.51,0.00110151,0.00110151,0.00110151
3,68.2145,2.85803,3.3265,2.13319,0.0369,0.06818,0.00903,0.00194,3.18797,4.5791,2.72034,0.00164986,0.00164986,0.00164986
4,89.1782,2.87938,3.33956,2.21545,0.03791,0.04726,0.0117,0.00295,2.97773,3.98121,2.42427,0.0016505,0.0016505,0.0016505
5,109.774,2.86683,3.33178,2.18805,0.03335,0.05069,0.01494,0.00456,3.09085,4.1388,2.41789,0.001645,0.001645,0.001645
6,130.4,2.77369,3.28889,2.12313,0.07745,0.04275,0.01727,0.00493,2.83189,4.04938,2.31381,0.00163949,0.00163949,0.00163949
7,150.93,2.72922,3.11549,2.08096,0.07546,0.06782,0.02113,0.00691,2.95893,3.65745,2.3461,0.00163399,0.00163399,0.00163399
8,173.856,2.6854,3.15007,2.0928,0.08211,0.04383,0.03457,0.01236,2.80578,3.31516,2.24435,0.00162849,0.00162849,0.00162849
9,196.642,2.66425,3.18124,2.05753,0.11303,0.03932,0.0277,0.00795,2.78765,3.586,2.23643,0.00162299,0.00162299,0.00162299
10,218.426,2.65439,3.11681,2.05726,0.09545,0.07828,0.04172,0.01144,2.698,3.33583,2.15942,0.00161749,0.00161749,0.00161749
11,242.23,2.58482,3.08288,2.00999,0.15874,0.09073,0.05482,0.01603,2.62736,3.22245,2.1201,0.00161199,0.00161199,0.00161199
12,266.948,2.55409,2.96862,1.97602,0.21594,0.1057,0.05962,0.01728,2.66513,3.17432,2.12841,0.00160649,0.00160649,0.00160649
13,291.958,2.55914,3.02023,1.99738,0.11829,0.09614,0.05489,0.01766,2.57879,3.27729,2.11614,0.00160099,0.00160099,0.00160099
14,316.084,2.50977,2.95345,1.96655,0.14403,0.07071,0.06024,0.0159,2.71214,3.19825,2.15509,0.00159549,0.00159549,0.00159549
15,338.514,2.53419,2.97179,1.98997,0.12014,0.11887,0.05563,0.02182,2.60003,3.29634,2.12894,0.00158998,0.00158998,0.00158998
16,363.502,2.48961,2.98835,1.97632,0.14866,0.07468,0.0562,0.01649,2.59669,3.06491,2.12986,0.00158448,0.00158448,0.00158448
17,385.109,2.48692,2.88762,1.94729,0.2129,0.11273,0.06169,0.02164,2.60807,3.14368,2.11426,0.00157898,0.00157898,0.00157898
18,406.586,2.4621,2.87269,1.93881,0.16941,0.13889,0.0707,0.02583,2.62534,3.15827,2.13782,0.00157348,0.00157348,0.00157348
19,429.566,2.4618,2.79481,1.9169,0.13079,0.13312,0.05062,0.01786,2.65723,4.08034,2.21287,0.00156798,0.00156798,0.00156798
20,450.424,2.36271,2.79797,1.87717,0.13779,0.12843,0.06732,0.02169,2.57979,3.12515,2.1336,0.00156248,0.00156248,0.00156248
21,471.19,2.40723,2.77836,1.88863,0.12413,0.07666,0.05508,0.01761,2.60263,3.15876,2.10069,0.00155698,0.00155698,0.00155698
22,491.958,2.37515,2.77431,1.88489,0.15838,0.11742,0.07492,0.02513,2.48766,2.97751,2.05401,0.00155148,0.00155148,0.00155148
23,512.803,2.32133,2.63803,1.85257,0.18434,0.1351,0.09441,0.03057,2.50241,2.99161,2.0215,0.00154598,0.00154598,0.00154598
24,535.258,2.33955,2.66646,1.81534,0.17322,0.13041,0.08537,0.02977,2.44197,2.90727,2.03062,0.00154047,0.00154047,0.00154047
25,556.674,2.33366,2.69056,1.84781,0.14763,0.14592,0.0898,0.03004,2.43176,2.85205,2.00157,0.00153497,0.00153497,0.00153497
26,578.616,2.31257,2.65288,1.81912,0.19621,0.13456,0.09178,0.03233,2.4206,2.8426,2.01705,0.00152947,0.00152947,0.00152947
27,602.155,2.24294,2.63328,1.80954,0.16102,0.17553,0.09338,0.02972,2.50472,2.98535,2.04627,0.00152397,0.00152397,0.00152397
28,623.997,2.31355,2.63418,1.8428,0.15047,0.14105,0.08264,0.03112,2.51239,2.90831,2.01274,0.00151847,0.00151847,0.00151847
29,645.951,2.29378,2.61175,1.82514,0.14724,0.13348,0.09046,0.0271,2.43926,3.03185,2.02048,0.00151297,0.00151297,0.00151297
30,667.393,2.23425,2.62653,1.83855,0.14678,0.21934,0.09176,0.0302,2.43987,3.1336,1.99854,0.00150747,0.00150747,0.00150747
31,689.393,2.2198,2.4892,1.78223,0.23418,0.19102,0.13051,0.0477,2.43168,2.84774,2.02372,0.00150197,0.00150197,0.00150197
32,711.56,2.25449,2.53743,1.81314,0.2271,0.14051,0.10297,0.03825,2.42817,2.90972,2.03006,0.00149647,0.00149647,0.00149647
33,732.532,2.21882,2.50869,1.78418,0.17284,0.17388,0.10436,0.03401,2.42588,2.94313,2.02342,0.00149096,0.00149096,0.00149096
34,753.933,2.21714,2.50467,1.7639,0.21763,0.14141,0.10407,0.0353,2.38316,2.78777,1.95893,0.00148546,0.00148546,0.00148546
35,775.744,2.21832,2.44142,1.76891,0.18708,0.18272,0.12984,0.04903,2.37334,2.79999,1.95612,0.00147996,0.00147996,0.00147996
36,800.06,2.16313,2.52571,1.75121,0.15132,0.14592,0.09399,0.02666,2.45153,3.00073,2.03103,0.00147446,0.00147446,0.00147446
37,822.042,2.19631,2.37886,1.75564,0.19001,0.16198,0.09219,0.03404,2.42067,2.96407,1.99727,0.00146896,0.00146896,0.00146896
38,842.943,2.1221,2.43029,1.77973,0.23015,0.20671,0.13177,0.04484,2.39106,2.72611,1.94197,0.00146346,0.00146346,0.00146346
39,863.842,2.10767,2.3544,1.69115,0.27888,0.20487,0.15541,0.05773,2.35839,2.60958,1.96606,0.00145796,0.00145796,0.00145796
40,886.288,2.11379,2.33342,1.72685,0.20473,0.21681,0.14259,0.05487,2.3503,2.7237,1.96362,0.00145246,0.00145246,0.00145246
41,907.069,2.12574,2.33157,1.70443,0.22279,0.22619,0.13364,0.05243,2.28798,2.80828,1.89263,0.00144696,0.00144696,0.00144696
42,927.756,2.08691,2.28725,1.71011,0.26633,0.23647,0.15758,0.05658,2.31834,2.63064,1.90808,0.00144145,0.00144145,0.00144145
43,948.585,2.06011,2.27252,1.69955,0.22203,0.27273,0.14722,0.05023,2.34669,2.70482,1.94008,0.00143595,0.00143595,0.00143595
44,969.468,2.08881,2.28992,1.71521,0.18631,0.19553,0.10389,0.03807,2.4114,3.00564,1.96815,0.00143045,0.00143045,0.00143045
45,990.22,2.06928,2.26231,1.67626,0.25354,0.20671,0.17081,0.06178,2.27827,2.6349,1.88386,0.00142495,0.00142495,0.00142495
46,1013.1,2.05802,2.24231,1.68625,0.23017,0.23846,0.16512,0.06874,2.3585,2.60887,1.93946,0.00141945,0.00141945,0.00141945
47,1035.69,2.09297,2.20391,1.68618,0.23677,0.17564,0.11395,0.0445,2.45977,2.79566,2.00614,0.00141395,0.00141395,0.00141395
48,1056.53,2.04479,2.18942,1.67402,0.32831,0.20326,0.18906,0.07439,2.34087,2.63679,1.95235,0.00140845,0.00140845,0.00140845
49,1079.28,2.00507,2.16788,1.65505,0.35393,0.20076,0.17892,0.06359,2.32088,2.68021,1.9163,0.00140295,0.00140295,0.00140295
50,1100.04,2.02942,2.15367,1.63436,0.31208,0.21573,0.19325,0.07578,2.27577,2.65551,1.88646,0.00139745,0.00139745,0.00139745
51,1122.83,2.02342,2.11217,1.63898,0.243,0.25036,0.16508,0.06852,2.31411,2.6801,1.9285,0.00139195,0.00139195,0.00139195
52,1143.6,2.02369,2.10929,1.6444,0.31308,0.24946,0.2114,0.0918,2.23159,2.53187,1.85689,0.00138644,0.00138644,0.00138644
53,1166.13,1.98111,2.02423,1.61533,0.32367,0.26299,0.20549,0.07648,2.28793,2.62768,1.90272,0.00138094,0.00138094,0.00138094
54,1186.95,1.99827,2.10152,1.62914,0.27317,0.27038,0.1762,0.07814,2.2984,2.68661,1.94206,0.00137544,0.00137544,0.00137544
55,1207.91,1.91731,2.05027,1.60037,0.33129,0.26948,0.21313,0.08617,2.29726,2.57044,1.90154,0.00136994,0.00136994,0.00136994
56,1228.79,1.95302,2.00991,1.61814,0.29515,0.25036,0.18969,0.08441,2.26412,2.60735,1.87667,0.00136444,0.00136444,0.00136444
57,1249.54,1.92338,1.94933,1.55841,0.3358,0.27056,0.2107,0.08488,2.266,2.53419,1.86555,0.00135894,0.00135894,0.00135894
58,1269.95,1.91392,2.00592,1.5627,0.3447,0.27201,0.22486,0.09605,2.26117,2.51508,1.88459,0.00135344,0.00135344,0.00135344
59,1292.14,1.91497,1.94605,1.57404,0.308,0.29316,0.23511,0.11928,2.20703,2.45605,1.81654,0.00134794,0.00134794,0.00134794
60,1314.28,1.92054,1.92723,1.58458,0.41276,0.26497,0.25545,0.11449,2.18509,2.48302,1.87436,0.00134244,0.00134244,0.00134244
61,1334.82,1.86918,1.8968,1.53363,0.33325,0.29095,0.23499,0.099,2.25276,2.50119,1.87589,0.00133693,0.00133693,0.00133693
62,1355.31,1.92799,1.95571,1.57795,0.24824,0.29022,0.23944,0.11129,2.22163,2.47646,1.86891,0.00133143,0.00133143,0.00133143
63,1375.8,1.87813,1.88406,1.54762,0.29047,0.2802,0.22963,0.10218,2.15184,2.53567,1.82461,0.00132593,0.00132593,0.00132593
64,1396.2,1.82236,1.84106,1.52972,0.37604,0.28193,0.25162,0.11024,2.199,2.40442,1.83917,0.00132043,0.00132043,0.00132043
65,1416.69,1.83016,1.85728,1.50911,0.42725,0.32431,0.27749,0.13153,2.19042,2.4099,1.83355,0.00131493,0.00131493,0.00131493
66,1438.87,1.81284,1.76141,1.51693,0.51375,0.24152,0.26603,0.12774,2.16992,2.3451,1.85235,0.00130943,0.00130943,0.00130943
67,1459.39,1.87579,1.86203,1.55896,0.43877,0.24549,0.23894,0.10646,2.22902,2.49923,1.89255,0.00130393,0.00130393,0.00130393
68,1479.89,1.79178,1.74788,1.48962,0.37893,0.29904,0.27929,0.1284,2.14008,2.39426,1.83409,0.00129843,0.00129843,0.00129843
69,1500.45,1.79784,1.70104,1.48468,0.42918,0.28553,0.26344,0.1168,2.25957,2.39858,1.87757,0.00129293,0.00129293,0.00129293
70,1520.87,1.82481,1.7299,1.51149,0.38116,0.34334,0.29651,0.14538,2.16815,2.37093,1.8245,0.00128742,0.00128742,0.00128742
71,1543,1.79998,1.72873,1.5138,0.43812,0.36616,0.32558,0.15684,2.16182,2.2841,1.82256,0.00128192,0.00128192,0.00128192
72,1565.13,1.75053,1.69812,1.48788,0.36139,0.33109,0.31116,0.14957,2.16793,2.31028,1.79476,0.00127642,0.00127642,0.00127642
73,1586.12,1.76214,1.63483,1.46902,0.38913,0.30772,0.2769,0.12812,2.16833,2.27882,1.80989,0.00127092,0.00127092,0.00127092
74,1606.8,1.71107,1.62596,1.45006,0.46524,0.36147,0.32961,0.1517,2.14947,2.24085,1.8027,0.00126542,0.00126542,0.00126542
75,1627.43,1.76347,1.665,1.47021,0.435,0.38203,0.32874,0.15099,2.12341,2.22116,1.82018,0.00125992,0.00125992,0.00125992
76,1648.06,1.71989,1.64951,1.46293,0.40961,0.27352,0.25978,0.12925,2.13605,2.2921,1.80859,0.00125442,0.00125442,0.00125442
77,1668.54,1.70478,1.57333,1.43691,0.468,0.28932,0.29269,0.15041,2.08258,2.21647,1.77606,0.00124892,0.00124892,0.00124892
78,1689.16,1.72699,1.60192,1.47349,0.43645,0.35408,0.33405,0.16782,2.13982,2.23966,1.81687,0.00124342,0.00124342,0.00124342
79,1711.5,1.74125,1.61133,1.46024,0.50375,0.33225,0.34016,0.17359,2.11468,2.20592,1.8051,0.00123791,0.00123791,0.00123791
80,1734.1,1.69316,1.57642,1.4427,0.46433,0.35011,0.33308,0.16231,2.10386,2.35502,1.82595,0.00123241,0.00123241,0.00123241
81,1754.85,1.66589,1.54522,1.42429,0.48413,0.35317,0.33118,0.1707,2.08101,2.24869,1.76802,0.00122691,0.00122691,0.00122691
82,1775.6,1.68044,1.53816,1.45565,0.54073,0.31543,0.34544,0.17135,2.12185,2.2444,1.796,0.00122141,0.00122141,0.00122141
83,1796.05,1.69053,1.53794,1.45059,0.4604,0.30237,0.29818,0.14267,2.18909,2.31131,1.83768,0.00121591,0.00121591,0.00121591
84,1816.51,1.58256,1.43635,1.38507,0.47323,0.36508,0.3414,0.16312,2.08817,2.17695,1.76306,0.00121041,0.00121041,0.00121041
85,1836.89,1.60409,1.49187,1.39422,0.42296,0.35983,0.32474,0.15916,2.09641,2.23982,1.76643,0.00120491,0.00120491,0.00120491
86,1857.34,1.64906,1.509,1.41025,0.48198,0.32468,0.33435,0.17683,2.06515,2.31447,1.74722,0.00119941,0.00119941,0.00119941
87,1879.44,1.5766,1.46151,1.36196,0.53514,0.33225,0.34287,0.17597,2.05778,2.24062,1.77089,0.00119391,0.00119391,0.00119391
88,1900.05,1.58325,1.45361,1.37819,0.37719,0.33773,0.29429,0.15411,2.12857,2.34306,1.81994,0.0011884,0.0011884,0.0011884
